INCI name,CAS,EC no,Annex ref
ASCORBIC ACID,50-81-7 / 62624-30-0,200-066-2 / 263-644-3,
ASCORBIC ACID POLYPEPTIDE,,,
ASCORBIC ACID/ORANGE/CITRUS LIMON/CITRUS AURANTIFOLIA POLYPEPTIDES,167973-55-9,,II/358
ASCORBYL ASIATATE,,,
ASCORBYL CARBONYL DIPEPTIDE-17,,,
ASCORBYL CARBOXYDECYL TRISILOXANE,,,
ASCORBYL CYCLO PEG-6,,,
ASCORBYL DIPALMITATE,28474-90-0,,
ASCORBYL GLUCOSIDE,129499-78-1,425-980-0,
ASCORBYL HYALURONATE,,,
ASCORBYL ISOSTEARATE,,,
ASCORBYL LACTOSIDE,,,
ASCORBYL LINOLEATE,121869-32-7,,
ASCORBYL METHOXYCINNAMATE,1198294-97-1,,
ASCORBYL METHYLSILANOL PECTINATE,227200-22-8,,
ASCORBYL NICOTINATE,81489-64-7,,
ASCORBYL PALMITATE,137-66-6,205-305-4,
ASCORBYL PHOSPHATE SUCCINOYL PENTAPEPTIDE-12,,,
ASCORBYL PROPYL HYALURONATE,,,
ASCORBYL RETINOATE,,,
ASCORBYL STEARATE,25395-66-8,246-944-9,
ASCORBYL SUCCINOYL TETRAPEPTIDE-21,,,
ASCORBYL TETRAISOPALMITATE,"161436-56-2, 183476-82-6",,
ASCORBYL TOCOPHERYL ACETATE,,,
ASCORBYL TOCOPHERYL MALEATE,,,
ASCORBYLMETHYLCARBONYL PENTAPEPTIDE-72 TRI-T-BUTYL TRYPTOPHANAMIDE,,,
ASCORBYLPROPYL HYDROLYZED HYALURONATE,,,
ASIATIC ACID,464-92-6,,
ASIATICOSIDE,16830-15-2,240-851-7,
ASIMINA TRILOBA FRUIT EXTRACT,89957-75-5,289-594-2,
ASIMINA TRILOBA LEAF EXTRACT,,,
ASIVATREP,,,
ASPALATHUS LINEARIS EXTRACT,,,
ASPALATHUS LINEARIS LEAF,,,
ASPALATHUS LINEARIS LEAF EXTRACT,,,
ASPALATHUS LINEARIS LEAF/STALK EXTRACT,,,
ASPALATHUS LINEARIS WATER,,,
ASPARAGINE,70-47-3 / 3130-87-8,200-735-9 / 221-521-1,
ASPARAGOPSIS ARMATA EXTRACT,174393-71-6,,
ASPARAGUS COCHINCHINENSIS EXTRACT,,,
ASPARAGUS COCHINCHINENSIS ROOT EXTRACT,,,
ASPARAGUS LUCIDUS EXTRACT,,,
ASPARAGUS LUCIDUS ROOT EXTRACT,,,
ASPARAGUS OFFICINALIS EXTRACT,84649-90-1,283-471-7,
ASPARAGUS OFFICINALIS MERISTEM CELL CULTURE CONDITIONED MEDIA,,,
ASPARAGUS OFFICINALIS MERISTEM CELL EXTRACT,,,
ASPARAGUS OFFICINALIS ROOT EXTRACT,84649-90-1,283-471-7,
ASPARAGUS OFFICINALIS STEM EXTRACT,84649-90-1,283-471-7,
ASPARAGUS OFFICINALIS STEM JUICE VESICLES,,,
ASPARAGUS RACEMOSUS ROOT,,,
ASPARAGUS RACEMOSUS ROOT EXTRACT,,,
ASPARAGUS RACEMOSUS ROOT POWDER,,,
ASPARTAME,22839-47-0,245-261-3,
ASPARTIC ACID,56-84-8 / 617-45-8,200-291-6 / 210-513-3,
ASPERGILLUS FERMENT,,,
ASPERGILLUS FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS FERMENT FILTRATE,,,
ASPERGILLUS/(APRICOT/PRUNUS MUME) SEED POWDER/EGG SHELL POWDER/HYDROLYZED KERATIN/DEXTRIN/VINEGAR EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/(CINNAMOMUM ZEYLANICUM/EUCOMMIA ULMOIDES/MORUS ALBA BARK)/HONEYSUCKLE FLOWER/(FORSYTHIA SUSPENSA/ZIZIPHUS JUJUBA FRUIT)/HORDEUM VULGARE LEAF/(ACORUS GRAMINEUS/ANGELICA DAHURICA/ANGELICA GIGAS/ATRACTYLODES LANCEA/CNIDIUM OFFICINALE/ECLIPTA PROSTRATA/TETRADIUM RUTICARPUM/LICORICE/POLYGALA TENUIFOLIA/POLYGONUM MULTIFLORUM/RHEUM PALMATUM ROOT)/(TARAXACUM PLATYCARPUM ROOT/LEAF/FLOWER)/(GINGER ROOT/STEM)/THUJA ORIENTALIS SEED/(MENTHA ARVENSIS STEM/LEAF)/GANODERMA LUCIDUM/PAEONIA LACTIFLORA/PORIA COCOS/GOLD/SILVER FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/(DIOSPYROS KAKI/LAGERSTROEMIA SPECIOSA/RUBUS SUAVISSIMUS/SASA VEITCHII) LEAF/RICE FERMENT FILTRATE,,,
ASPERGILLUS/(OLIVE FRUIT/LEAF/SEED)/RICE FERMENT FILTRATE,,,
ASPERGILLUS/ALCOHOL/RICE FERMENT LEES POWDER,,,
ASPERGILLUS/ALOE VERA LEAF FERMENT FILTRATE,,,
ASPERGILLUS/AMARANTHUS HYPOCHONDRIACUS SEED FERMENT FILTRATE,,,
ASPERGILLUS/ANGELICA TENUISSIMA ROOT EXTRACT FERMENT EXTRACT,,,
ASPERGILLUS/ANGELICA TENUISSIMA ROOT EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/ANGELICA TENUISSIMA ROOT FERMENT EXTRACT,,,
ASPERGILLUS/APRICOT KERNEL/ARTEMISIA ANNUA/AQUILARIA AGALLOCHA STEM/ELETTARIA CARDAMOMUM SEED/CORDYCEPS SINENSIS/HERICIUM ERINACEUM/POLYPORUS UMBELLATUS/WHEAT FLOUR/XANTHIUM STRUMARIUM FRUIT FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/ARALIA ELATA BRANCH/LEAF FERMENT EXTRACT,,,
ASPERGILLUS/ASPIDOSPERMA QUEBRACHO FERMENT,,,
ASPERGILLUS/ASTRAGALUS SINICUS SEED/RICE FERMENT FILTRATE,,,
ASPERGILLUS/BACILLUS/LACTOBACILLUS/LACTOCOCCUS/SACCHAROMYCES/CARCIA PAPAYA FRUIT/CLADOSIPHON OKAMURANUS/LAMINARIA JAPONICA/RICE BRAN/RICE FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/BIFIDOBACTERIUM/LACTOBACILLUS/SACCHAROMYCES/STREPTOCOCCUS /RHIZOME/(ARCTIUM LAPPA/CARROT/DANDELION/ELEUTHERO/EURYCOMA LONGIFOLIA/LEPIDIUM MEYENII/LICORICE/PANAX GINSENG/PANAX NOTOGINSENG/PLATYCODON GRANDIFLORUM/SALACIA RETICULATA ROOT)/(PANAX GINSENG/GINGER/POLYGONATUM ODORATUM ROOT/STEM)/(CASSIA OBTUSIFOLIA/JOB'S TEARS SEED)/(COMMELINA COMMUNIS/CORCHORUS OLITORIUS SPROUT)/SAMBUCUS SIEBOLDIANA STEM/GLOIOPELTIS TENAX/LAMINARIA JAPONICA/ARTEMISIA PRINCEPS/CASSIA OBTUSIFOLIA/EQUISETUM ARVENSE/GLECHOMA HEDERACEA/GYNOSTEMMA PENTAPHYLLUM/HYPERICUM ERECTUM/ISODON JAPONICUS/NANDINA DOMESTICA/PLANTAGO ASIATICA/VIGNA RADIATA EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/BUCKWHEAT FERMENT EXTRACT,,,
ASPERGILLUS/CALENDULA OFFICINALIS FLOWER/HYDROLYZED RICE/OCIMUM TENUIFLORUM LEAF FERMENT FILTRATE,,,
ASPERGILLUS/CAMELLIA JAPONICA SEED FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/CAMELLIA SINENSIS LEAF EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,,,
ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/CAMELLIA SINENSIS LEAF FERMENT POWDER,,,
ASPERGILLUS/CANDIDA UTILIS/LACTOBACILLUS/MUCOR HIEMALIS/RHODOBACTER/RHODOPSEUDOMONAS/ SACCHAROMYCES/STREPTOCOCCUS LACTIS/STREPTOMYCES ALBUS/STREPTOMYCES GRISEUS/LEMON FRUIT/MOLASSES FERMENT FILTRATE,,,
ASPERGILLUS/CASTANEA CRENATA PELLICLE FERMENT EXTRACT,,,
ASPERGILLUS/CASTANEA CRENATA PELLICLE FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/CENTELLA ASIATICA LEAF/STEM EXTRACT/SWIFTLET NEST EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/CHAMAECRISTA NOMAME (FRUIT/FRUIT JUICE/LEAF/SEED)/RICE FERMENT FILTRATE,,,
ASPERGILLUS/CHAMAECRISTA NOMAME (LEAF/STALK)/RICE FERMENT FILTRATE,,,
ASPERGILLUS/CITRUS RETICULATA Ã— SINENSIS FRUIT/RICE/STRAWBERRY FRUIT FERMENT FILTRATE,,,
ASPERGILLUS/COFFEE SEED/RICE FERMENT FILTRATE,,,
ASPERGILLUS/COIX LACRYMA-JOBI MA-YUEN SEED FERMENT FILTRATE,,,
ASPERGILLUS/COLLAGEN/RICE FERMENT FILTRATE,,,
ASPERGILLUS/CORIANDER FRUIT/RICE FERMENT FILTRATE,,,
ASPERGILLUS/DEFATTED RICE BRAN/ALCOHOL/BORNEOL FERMENT FILTRATE,,,
ASPERGILLUS/DEFATTED SOYBEAN SEED FERMENT EXTRACT,,,
ASPERGILLUS/DEFATTED SOYBEAN SEED FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/RICE BRAN FERMENT FILTRATE,,,
ASPERGILLUS/ENTEROCOCCUS FAECIUM/PEDIOCOCCUS/DEFATTED SOYBEAN/GLUCOSE/SOYBEAN STARCH FERMENT,,,
ASPERGILLUS/FERMENT FILTRATE,,,
ASPERGILLUS/GARLIC BULB/RICE BRAN/RICE VINEGAR FERMENT,,,
ASPERGILLUS/GARLIC/RICE BRAN/VINEGAR FERMENT,,,
ASPERGILLUS/GELATIN/RICE FERMENT FILTRATE,,,
ASPERGILLUS/GLUCOSE/SOYBEAN/STARCH FERMENT FILTRATE,,,
ASPERGILLUS/GYNOSTEMMA PENTAPHYLLUM LEAF FERMENT FILTRATE EXTRACT,,,
ASPERGILLUS/HIPPOPHAE RHAMNOIDES SEED FERMENT FILTRATE,,,
ASPERGILLUS/HYDROLYZED COLLAGEN FERMENT FILTRATE,,,
ASPERGILLUS/HYDROLYZED CORN STARCH FERMENT FILTRATE,,,
ASPERGILLUS/HYDROLYZED PRUNUS MUME SEED FERMENT EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/APHANIZOMENON FLOS-AQUAE/RICE SEED EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/CAMELLIA SINENSIS LEAF FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/GINGER ROOT/RICE FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/CITRUS UNSHIU FRUIT/CITRUS JAPONICA FRUIT/CITRUS JUNOS FRUIT/APPLE FRUIT/BANANA FRUIT/PAPAYA FRUIT/PYRUS PYRIFOLIA FRUIT/DIOSPYROS KAKI FRUIT/WATERMELON FRUIT/PEACH FRUIT/PRUNUS MUME FRUIT/FIG FRUIT/CHAENOMELES SINENSIS FRUIT/ERIOBOTRYA JAPONICA FRUIT/APRICOT FRUIT/ZIZYPHUS JUJUBA FRUIT/CUCURBITA MAXIMA FRUIT/CASTANEA CRENATA FRUIT/VITIS COIGNETIAE FRUIT/LYCIUM CHINENSE FRUIT/RASPBERRY FRUIT/MOMORDICA GROSVENORII FRUIT/SOYBEAN SEED/PHASEOLUS ANGULARIS SEED/CANAVALIA ENSIFORMIS SEED/RICE SEED/HORDEUM VULGARE SEED/COIX LACRYMA-JOBI MA-YUEN SEED/ ECHINOCHLOA CRUS-GALLI SEED/SETARIA ITALICA SEED/MILLET SEED/HEMEROCALLIS FULVA FLOWER/CABBAGE LEAF/STEM/MORUS BOMBYCIS LEAF/PERILLA FRUTESCENS LEAF/IPOMOEA BATATAS ROOT/COLOCASIA ANTIQUORUM TUBER/DIOSCOREA BATATAS RHIZOME/IRIDEA LAMINARIOIDES/LAMINARIA JAPONICA/NEMACYSTUS DECIPIENS/UNDARIA PINNATIFIDA/RADISH ROOT/TURNIP ROOT/CARROT ROOT/ARCTIUM LAPPA ROOT/NELUMBO NUCIFERA RHIZOME/ONION BULB/LILIUM AURATUM BULB/LICORICE ROOT/SAGITTARIA TRIFOLIA ROOT/SESAME SEED/GINKGO BILOBA SEED/JUGLANS SUBCORDIFORMIS FRUIT/PANAX GINSENG SEED/ACTINIDIA POLYGAMA FRUIT/HYDNUM ERINACEUM FRUITING BODY/GRIFOLA FRONDOSA FRUITING BODY/LENTINUS EDODES FRUITING BODY/ARTEMISIA PRINCEPS/HOUTTUYNIA CORDATA/VITIS LABRUSCA FRUIT/HELIANTHUS TUBEROSUS TUBER FERMENT EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/HORDEUM VULGARE SEED/SOYBEAN SEED/RICE SEED/PHASEOLUS ANGULARIS SEED/CANAVALIA GLADIATA SEED/COIX LACHRYMA-JOBI MA-YUEN SEED/ECHINOCHLOA UTILIS SEED/SETARIA ITALICA SEED/MILLET SEED/VITIS LABRUSCA FRUIT/APPLE FRUIT/CITRUS UNSHIU FRUIT/VITIS COIGNETIAE FRUIT/MUSA SAPIENTUM FRUIT/PEACH FRUIT/PRUNUS MUME FRUIT/PYRUS PYRIFOLIA FRUIT/FIG FRUIT/WATERMELON FRUIT/CUCURBITA MAXIMA FRUIT/DIOSPYROS KAKI FRUIT/PAPAYA FRUIT/APRICOT FRUIT/FORTUNELLA CRASSIFOLIA FRUIT/CHAENOMELES SINENSIS FRUIT/RUBUS IDAEUS FRUIT/CASTANEA CRENATA FRUIT/ERIOBOTRYA JAPONICA FRUIT/LYCIUM CHINENSE FRUIT/ZIZYPHUS JUJUBA FRUIT/CITRUS JUNOS FRUIT/MOMORDICA GROSVENORII FRUIT/PANAX GINSENG FRUIT/CABBAGE LEAF/STEM/PERILLA OCYMOIDES LEAF/MORUS BOMBYCIS LEAF/HOUTTUYNIA CORDATA/ARTEMISIA PRINCEPS/HEMEROCALLIS FULVA KWANSO FLOWER/IPOMOEA BATATAS ROOT/HELIANTHUS TUBEROSUS TUBER/CARROT ROOT/RADISH ROOT/NELUMBO NUCIFERA RHIZOME/ONION BULB/TURNIP ROOT/ARCTIUM LAPPA ROOT/LILIUM AURATUM BULB/COLOCASIA ESCULENTA TUBER/DIOSCOREA JAPONICA RHIZOME/SAGITTARIA TRIFOLIA EDULIS TUBER/GLYCYRRHIZA GLABRA ROOT/RHODOGLOSSUM PULCHERUM LEAF/LAMINARIA JAPONICA LEAF/UNDARIA PINNATIFIDA LEAF/NEMACYSTUS DECIPIENS/JUGLANS SIEBOLDIANA SEED/GINKGO BILOBA SEED/ACTINIDIA POLYGAMA FRUIT/SESAME SEED/HERICIUM ERINACEUM FRUITING BODY/GRIFOLA FRONDOSA FRUITING BODY/LENTINUS EDODES FRUITING BODY FERMENT EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/RICE SEED EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/RICE SEED FERMENT FILTRATE,,,
"ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/(SOYBEAN/OENOTHERA GLAZIOVIANA/RADISH/BROCCOLI/CAULIFLOWER/RICE/HORDEUM VULGARE/COIX LACRYMA-JOBI/ACHILLEA MILLEFOLIUM/SESAME/SAGE/THYME/HYPERICUM PERFORATUM/TRIFOLIUM PRATENSE (CLOVER)/MEDICAGO SATIVA/TRIGONELLA FOENUM-GRAECUM) SPROUT FERMENT FILTRATE EXTRACT IS THE EXTRACT OF A FILTRATE OF THE PRODUCT OBTAINED BY THE FERMENTATION OF THE SPROUTS OF GLYCINE MAX (SOYBEAN), OENOTHERA GLAZIOVIANA , RAPHANUS SATIVUS VAR. SATIVUS (RADISH), BRASSICA OLERACEA ITALICA (BROCCOLI), BRASSICA OLERACEA BOTYRIS (CAULIFLOWER), ORYZA SATIVA (RICE), HORDEUM VULGARE, COIX LACRYMA-JOBI, ACHILLEA MILLEFOLIUM, SESAMUM INDICUM (SESAME), SALVIA OFFICINALIS (SAGE), THYMUS VULGARIS (THYME), HYPERICUM PERFORATUM, TRIFOLIUM PRATENSE (CLOVER), MEDICAGO SATIVA, AND TRIGONELLA FOENUM-GRAECUM BY THE MICROORGANSIMS, ASPERGILLUS, LACTOBACILLUS , AND SACCHAROMYCES.",,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/(SOYBEAN/OENOTHERA GLAZIOVIANA/RADISH/BROCCOLI/CAULIFLOWER/RICE/HORDEUM VULGARE/COIX LACRYMA-JOBI/ACHILLEA MILLEFOLIUM/SESAME/SAGE/THYME/HYPERICUM PERFORATUM/TRIFOLIUM PRATENSE/MEDICAGO SATIVA/TRIGONELLA FOENUM-GRAECUM) SPROUT FERMENT FILTRATE EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/ACTINIDIA ARGUTA FRUIT/AKEBIA QUINATA FRUIT/CORYLUS HETEROPHYLLA FRUIT/DIOSPYROS LOTUS FRUIT/MORUS ALBA FRUIT/PRUNUS DAVIDIANA FRUIT/PYRUS LINDLEJI FRUIT/RUBUS CRATAEGIFOLIUS FRUIT/VITIS AMURENSIS FRUIT FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/ACTINIDIA ARGUTA/ALOE BARBADENSIS/ANGELICA UTILIS/ARTEMISIA PRINCEPS/ASTER SCABER/BEET/BRASSICA OLERACEA VIRIDIS/CREPIDIASTRUM SONCHIFOLIUM/DIOSCOREA BATATAS/GANODERMA LUCIDUM/GINGER/HIZIKIA FUSIFORMIS/HOUTTUYNIA CORDATA/LAMINARIA JAPONICA/LENTINULA EDODES/MORUS ALBA LEAF/OENANTHE JAVANICA/PINUS DENSIFLORA/PLANTAGO ASIATICA/PORPHYRA TENERA/PUERARIA LOBATA/SAURURUS CHINENSIS/SEDUM SARMENTOSUM/TARAXACUM MONGOLICUM/UNDARIA PINNATIFIDA/(APPLE/PEAR/PRUNUS MUME/PUMPKIN/TOMATO) FRUIT/(CARROT/CODONOPSIS LANCEOLATA/PLATYCODON GRANDIFLORUS) ROOT/(BAMBUSA VULGARIS/HORDEUM VULGARE) SPROUT FERMENT FILTRATE EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/BARLEY/RICE/SOYBEAN SEED FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/ONION/CELERY/CABBAGE/GINGER/GARLIC/POTATO/BRASSICA OLERACEA ACEPHALA/ALOE BARBADENSIS/LAMINARIA JAPONICA/UNDARIA PINNATIFIDA/IPOMOEA BATATAS/OENANTHE JAVANICA/NELUMBO NUCIFERA/ALLIUM TUBEROSUM/ALLIUM FISTULOSUM/DIOSCOREA BATATAS/ACTINIDIA ARGUTA/COLOCASIA ESCULENTA/ARCTIUM LAPPA/LENTINULA EDODES/(CHICORY/RADISH/CARROT) ROOT/(PUMPKIN/GRAPE/EGGPLANT/CHESTNUT/PEACH/TANGERINE/APPLE/JUJUBE/FIG/PRUNUS MUME/PYRUS PYRIFOLIA/PRUNUS SALICINA) FRUIT FERMENT FILTRATE EXTRACT,,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/RICE BRAN FERMENT EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/SEA SALT/SOYBEAN/WHEAT SEED FERMENT LEES EXTRACT,,,
ASPERGILLUS/MALUS DOMESTICA FRUIT/RICE SEED FERMENT FILTRATE,,,
ASPERGILLUS/MILLET SEED/RICE HULL FERMENT FILTRATE,,,
ASPERGILLUS/MOLASSES FERMENT FILTRATE,,,
ASPERGILLUS/PAEONIA SUFFRUTICOSA BARK/HONEYSUCKLE FLOWER/FORSYTHIA FRUIT/(ASTRAGALUS MEMBRANACEUS/GENTIANA SCABRA/LICORICE/REHMANNIA GLUTINOSA/RHEUM PALMATUM/SCROPHULARIA BUERGERIANA) ROOT/(CASTOR/RICE) SEED FERMENT EXTRACT,,,
ASPERGILLUS/PANAX GINSENG ROOT FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/PEAR LEAF FERMENT EXTRACT,,,
ASPERGILLUS/PICHIA/SORGHUM BICOLOR FERMENT LEES EXTRACT,,,
ASPERGILLUS/PORIA COCOS SCLEROTIUM FERMENT EXTRACT,,,
ASPERGILLUS/POTATO STARCH/WHEAT FLOUR FERMENT FILTRATE,,,
ASPERGILLUS/PRUNUS SERRULATA FLOWER FERMENT EXTRACT,,,
ASPERGILLUS/PRUNUS YEDOENSIS FLOWER FERMENT EXTRACT,,,
ASPERGILLUS/PRUNUS YEDOENSIS LEAF FERMENT EXTRACT,,,
ASPERGILLUS/RASPBERRY FRUIT/RICE FERMENT FILTRATE,,,
ASPERGILLUS/RHINACANTHUS NASUTUS LEAF/RICE FERMENT FILTRATE,,,
ASPERGILLUS/RICE BRAN FERMENT EXTRACT,,,
ASPERGILLUS/RICE FERMENT,,,
ASPERGILLUS/RICE FERMENT EXTRACT,,,
ASPERGILLUS/RICE FERMENT FILTRATE,,,
ASPERGILLUS/RICE FERMENT LEES EXTRACT FILTRATE,,,
ASPERGILLUS/RICE GERM FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/RICE/RICE BRAN FERMENT FILTRATE,,,
ASPERGILLUS/RICE/SOYMILK FERMENT FILTRATE,,,
ASPERGILLUS/RICE/WOOL EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/ROSA DAMASCENA LEAF/RICE FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES RICE FERMENT LEES,,,
ASPERGILLUS/SACCHAROMYCES/APPLE FRUIT/MELON FRUIT/BANANA FRUIT/GRAPE/SUCROSE FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/BARLEY FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/BARLEY LEES FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/BARLEY SEED FERMENT EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/CHICORY ROOT FERMENT LEES EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/GASTRODIA ELATA ROOT EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/GLYCYRRHIZA URALENSIS ROOT EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/HONEY/ORIGANUM MAJORANA LEAF/RICE FERMENT LEES EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/IPOMOEA BATATAS ROOT FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/IPOMOEA BATATAS ROOT FERMENT LEES,,,
ASPERGILLUS/SACCHAROMYCES/IPOMOEA BATATAS ROOT FERMENT LEES EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/MALLOTUS JAPONICUS BARK/(GARLIC/ONION BULB)/(MATRICARIA/SAFFLOWER FLOWER)/(ACTINIDIA POLYGAMA/APPLE/APRICOT/CAPSICUM FRUTESCENS/CITRUS UNSHIU/FIG/FORTUNELLA MARGARITA/GRAPE/GRAPEFRUIT/LEMON/LYCIUM CHINENSE/MELON/MUME/PINEAPPLE/PSEUDOCYDONIA SINENSIS/SIRAITIA GROSVENORII/ZIZIPHUS JUJUBA FRUIT)/(AGARICUS BLAZEI/GANODERMA LUCIDUM/LENTINULA EDODES FRUITING BODY)/ONION HULL/(AMYGDALUS PERSICA/CABBAGE/COMMELINA COMMUNIS/CORCHORUS OLITORIUS/DIOSPYROS KAKI/ERIOBOTRYA JAPONICA/EUCOMMIA ULMOIDES/FIG/GINKGO BILOBA/LYCIUM CHINENSE/MORUS ALBA/NANDINA DOMESTICA/NELUMBO NUCIFERA/PERILLA FRUTESCENS/PINUS DENSIFLORA LEAF)/(HONEYSUCKLE LEAF/STEM)/(ARCTIUM LAPPA/CARROT/DANDELION/ELEUTHEROCOCCUS SENTICOSUS/EURYCOMA LONGIFOLIA/GINGER/LICORICE/PLATYCODON GRANDIFLORUS/SALACIA RETICULATA ROOT)/(TURMERIC ROOT/STEM)/(CASSIA OBTUSIFOLIA/COIX LACRYMA-JOBI MA-YUEN SEED)/SAMBUCUS SIEBOLDIANA STEM/ACER MAXIMOWICZIANUM/ANDROGRAPHIS PANICULATA/ARTEMISIA PRINCEPS/ASPALATHUS LINEARIS/EQUISETUM ARVENSE/GLECHOMA HEDERACEA/GLOIOPELTIS TENAX/GYNOSTEMMA PENTAPHYLLUM/HOUTTUYNIA CORDATA/HYPERICUM ERECTUM/LEPIDIUM MEYENII/PANAX GINSENG/PANAX NOTOGINSENG/PARSLEY/PHASEOLUS RADIATUS/PHYLLANTHUS EMBLICA/PLANTAGO ASIATICA/POLYGONATUM ODORATUM/RABDOSIA JAPONICA/SACCHARINA JAPONICA/SASA VEITCHII/SENNA OCCIDENTALIS/TETRAGONIA TETRAGONIOIDES/UNCARIA TOMENTOSA EXTRACT/BLACK STRAP POWDER/GALACTOOLIGOSACCHARIDES/MOLASSES FERMENT,,,
ASPERGILLUS/SACCHAROMYCES/MORUS ALBA FRUIT/RICE FERMENT LEES EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/PRUNUS MUME FRUIT/RICE FERMENT LEES EXTRACT,,,
ASPERGILLUS/SACCHAROMYCES/PUMPKIN SEED FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/RICE FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/RICE FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/RICE LEES FERMENT FILTRATE,,,
ASPERGILLUS/SACCHAROMYCES/TETRAGENOCOCCUS/RICE FERMENT FILTRATE,,,
ASPERGILLUS/SACCHARUM OFFICINARUM STEM EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/SIRAITIA GROSVENORII FRUIT/EUCOMMIA ULMOIDES LEAF/COIX LACRYMA-JOBI MA-YUEN SEED FERMENT FILTRATE,,,
ASPERGILLUS/SNAIL SECRETION FILTRATE FERMENT FILTRATE,,,
ASPERGILLUS/SORGHUM BICOLOR FERMENT LEES EXTRACT,,,
ASPERGILLUS/SORGHUM BICOLOR LEAF/STEM EXTRACT FERMENT FILTRATE,,,
ASPERGILLUS/SOYBEAN GERM FERMENT,,,
ASPERGILLUS/SOYBEAN GERM FERMENT EXTRACT,,,
ASPERGILLUS/SOYBEAN GERM FERMENT FILTRATE,,,
ASPERGILLUS/SOYBEAN SEED EXTRACT FERMENT EXTRACT FILTRATE,,,
ASPERGILLUS/SOYBEAN SEED FERMENT FILTRATE,,,
ASPERGILLUS/SOYBEAN SHOOT FERMENT EXTRACT,,,
ASPERGILLUS/SOYBEAN/WHEAT GERM/CAMELLIA SINENSIS LEAF/JOB'S TEARS SEED/RICE GERM/SESAME SEED FERMENT,,,
